player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Kevin Love,loveke01,2021,RS,CLE,1303,622,-.9729758240752926,-2.23172423191727,-3.204700055992562,.9514263493624131,-2.457642841930114,-1.506216492567701,-.5348578216498084,-2.39143814001902,-2.926295961668829,-.0564353191564099,-.0564353191564099,0,-.0582770719482194,-2.373837558876374,-2.432114630824593,.8821902803985709
Kyle Lowry,lowryky01,2021,RS,TOR,3381,1601,2.374486115821919,-.5715748440898585,1.802911271732061,1.168897193906396,-2.835948069240218,-1.667050875333822,2.27612380326339,-1.066735495138834,1.209388308124556,3.279187402987535,3.279187402987535,0,2.475632928432335,-.2434421337621889,2.232190794670146,1.406218104557822
Timothe Luwawu-Cabarrot,luwawti01,2021,PO,BRK,57,25,3.653787063231472,-.7105692397441478,2.943217823487324,-1.269048807274689,20.21959373866048,18.95054493138579,2.762012231267419,3.595620908773637,6.357633140041056,.1202389022745618,0,.1202389022745618,1.408630153009203,-2.134747584611371,-.7261174316021675,.3503742155174299
Timothe Luwawu-Cabarrot,luwawti01,2021,RS,BRK,2254,1050,-1.499344104786691,-.9884452036378827,-2.487789308424574,-1.506889306688991,-.5775017199070416,-2.084391026596033,-1.660276711649936,-.9527081326505634,-2.6129848443005,.0737483769183458,.0737483769183458,0,-.394477437243752,-1.421146262584109,-1.815623699827861,.4787239200942367
Trey Lyles,lylestr01,2021,RS,SAS,743,358,-2.370993264121291,-.4027211200414503,-2.773714384162741,-7.962898808807457,-2.324723497941836,-10.28762230674929,-3.662397503611801,-.8201657215308344,-4.482563225142636,-.3131041275663254,-.3131041275663254,0,-4.006239695755093,-2.044853670174799,-6.051093365929892,-1.069356254499489
Will Magnay,magnawi01,2021,RS,NOP,7,3,-28.67578486802741,-13.528044179159,-42.20382904718641,-35.15813364646059,-52.88971921640317,-88.04785286286376,-31.89133203386224,-22.68195648153831,-54.57328851540055,-.0828962329013951,-.0828962329013951,0,-20.28235858453691,-18.01548952867762,-38.29784811321453,4.55166629836273
Thon Maker,makerth01,2021,RS,CLE,155,76,2.003602600393714,-3.216484580083332,-1.212881979689618,-8.61361989335213,.1809191518917231,-8.432700741460406,-.0179148395844948,-2.651467510922938,-2.669382350507433,.0030914892850345,.0030914892850345,0,-1.905330506192999,-2.624749066062833,-4.530079572255833,-1.113665026224489
Theo Maledon,maledth01,2021,RS,OKC,3825,1778,-3.885683294247916,-3.021634932098553,-6.907318226346469,-8.334262627443019,-2.246162395653665,-10.58042502309668,-4.934003574948979,-3.020038777941538,-7.954042352890517,-4.747338074960614,-4.747338074960614,0,-5.359647129395636,-2.565106333628262,-7.924753463023899,.5682408024522509
Karim Mane,maneka01,2021,RS,ORL,182,88,-6.484714060415883,-5.601630100786872,-12.08634416120276,-3.757843110156554,-1.920564391885551,-5.678407502042106,-6.248507809732078,-5.108494003933073,-11.35700181366515,-.3830566195667473,-.3830566195667473,0,-7.616710366393341,-5.040447206613108,-12.65715757300645,-.8824476471147723
Nico Mannion,mannini01,2021,RS,GSW,778,364,-1.872039796222151,-2.015388203600029,-3.88742799982218,-2.978441405046488,-3.419936093545012,-6.398377498591501,-2.192928496948721,-2.429677067403721,-4.622605564352442,-.3496298236778888,-.3496298236778888,0,-1.553031213405605,-2.418986240336988,-3.972017453742592,.5409340818330958
